record_id,date,region,channel,contacts,resolved_contacts,escalations,aht_seconds,csat_score,source_file
OPS-0061,2026-02-01,North_America,chat,401,300,29,356,4.74,synthetic_batch_2.csv
OPS-0062,2026-02-02,LATAM,voice,150,132,5,319,3.75,synthetic_batch_2.csv
OPS-0063,2026-02-03,EU,email,131,122,4,557,4.61,synthetic_batch_2.csv
OPS-0064,2026-02-04,North_America,chat,380,351,9,468,4.58,synthetic_batch_2.csv
OPS-0065,2026-02-05,LATAM,voice,385,283,18,467,4.07,synthetic_batch_2.csv
OPS-0066,2026-02-06,EU,email,704,619,35,330,3.6,synthetic_batch_2.csv
OPS-0067,2026-02-07,North_America,chat,449,327,42,702,4.13,synthetic_batch_2.csv
OPS-0068,2026-02-08,LATAM,voice,460,363,34,650,3.82,synthetic_batch_2.csv
OPS-0069,2026-02-09,EU,email,214,186,7,349,4.04,synthetic_batch_2.csv
OPS-0070,2026-02-10,North_America,chat,523,476,7,357,3.85,synthetic_batch_2.csv
OPS-0071,2026-02-11,LATAM,voice,480,353,40,590,3.13,synthetic_batch_2.csv
OPS-0072,2026-02-12,EU,email,553,500,21,691,3.91,synthetic_batch_2.csv
OPS-0073,2026-02-13,North_America,chat,168,137,8,382,3.14,synthetic_batch_2.csv
OPS-0074,2026-02-14,LATAM,voice,451,402,21,459,3.54,synthetic_batch_2.csv
OPS-0075,2026-02-15,EU,email,217,187,8,342,3.2,synthetic_batch_2.csv
OPS-0076,2026-02-16,North_America,chat,323,247,33,690,4.08,synthetic_batch_2.csv
OPS-0077,2026-02-17,LATAM,voice,662,523,41,324,3.38,synthetic_batch_2.csv
OPS-0078,2026-02-18,EU,email,532,496,9,520,4.72,synthetic_batch_2.csv
OPS-0079,2026-02-19,North_America,chat,649,472,32,387,3.61,synthetic_batch_2.csv
OPS-0080,2026-02-20,LATAM,voice,576,423,53,631,3.89,synthetic_batch_2.csv
OPS-0081,2026-02-21,EU,email,312,266,15,543,4.8,synthetic_batch_2.csv
OPS-0082,2026-02-22,North_America,chat,270,213,7,610,3.64,synthetic_batch_2.csv
OPS-0083,2026-02-23,LATAM,voice,235,208,11,412,3.74,synthetic_batch_2.csv
OPS-0084,2026-02-24,EU,email,694,547,64,548,3.33,synthetic_batch_2.csv
OPS-0085,2026-02-25,North_America,chat,125,97,4,514,3.42,synthetic_batch_2.csv
OPS-0086,2026-02-26,LATAM,voice,175,123,11,332,3.27,synthetic_batch_2.csv
OPS-0087,2026-02-27,EU,email,309,230,35,340,4.0,synthetic_batch_2.csv
OPS-0088,2026-02-28,North_America,chat,514,480,14,578,4.54,synthetic_batch_2.csv
OPS-0089,2026-03-01,LATAM,voice,645,544,25,382,3.2,synthetic_batch_2.csv
OPS-0090,2026-03-02,EU,email,469,331,17,403,3.19,synthetic_batch_2.csv
OPS-0091,2026-03-03,North_America,chat,535,459,28,329,3.38,synthetic_batch_2.csv
OPS-0092,2026-03-04,LATAM,voice,674,493,26,604,4.23,synthetic_batch_2.csv
OPS-0093,2026-03-05,EU,email,399,317,22,500,4.38,synthetic_batch_2.csv
OPS-0094,2026-03-06,North_America,chat,249,175,31,717,4.32,synthetic_batch_2.csv
OPS-0095,2026-03-07,LATAM,voice,686,575,27,560,3.32,synthetic_batch_2.csv
OPS-0096,2026-03-08,EU,email,491,433,27,546,3.11,synthetic_batch_2.csv
OPS-0097,2026-03-09,North_America,chat,649,494,65,402,3.74,synthetic_batch_2.csv
OPS-0098,2026-03-10,LATAM,voice,624,572,11,375,3.93,synthetic_batch_2.csv
OPS-0099,2026-03-11,EU,email,650,609,13,653,4.15,synthetic_batch_2.csv
OPS-0100,2026-03-12,North_America,chat,624,578,21,646,3.87,synthetic_batch_2.csv
OPS-0101,2026-03-13,LATAM,voice,457,391,9,539,4.11,synthetic_batch_2.csv
OPS-0102,2026-03-14,EU,email,302,248,24,607,4.23,synthetic_batch_2.csv
OPS-0103,2026-03-15,North_America,chat,220,193,4,314,3.67,synthetic_batch_2.csv
OPS-0104,2026-03-16,LATAM,voice,651,507,39,342,4.02,synthetic_batch_2.csv
OPS-0105,2026-03-17,EU,email,522,441,29,703,3.96,synthetic_batch_2.csv
OPS-0106,2026-03-18,North_America,chat,375,301,34,387,3.5,synthetic_batch_2.csv
OPS-0107,2026-03-19,LATAM,voice,236,169,9,366,4.18,synthetic_batch_2.csv
OPS-0108,2026-03-20,EU,email,598,461,38,703,4.59,synthetic_batch_2.csv
OPS-0109,2026-03-21,North_America,chat,653,501,16,450,3.91,synthetic_batch_2.csv
OPS-0110,2026-03-22,LATAM,voice,608,482,48,599,3.11,synthetic_batch_2.csv
OPS-0111,2026-03-23,EU,email,273,222,24,343,3.28,synthetic_batch_2.csv
OPS-0112,2026-03-24,North_America,chat,619,581,17,470,4.81,synthetic_batch_2.csv
OPS-0113,2026-03-25,LATAM,voice,634,451,38,334,4.59,synthetic_batch_2.csv
OPS-0114,2026-03-26,EU,email,546,431,53,376,4.19,synthetic_batch_2.csv
OPS-0115,2026-03-27,North_America,chat,237,218,8,500,4.22,synthetic_batch_2.csv
OPS-0116,2026-03-28,LATAM,voice,650,598,14,640,4.8,synthetic_batch_2.csv
OPS-0117,2026-03-29,EU,email,617,527,36,681,4.59,synthetic_batch_2.csv
OPS-0118,2026-03-30,North_America,chat,318,279,9,330,4.4,synthetic_batch_2.csv
OPS-0119,2026-03-31,LATAM,voice,481,417,15,350,3.18,synthetic_batch_2.csv
OPS-0120,2026-04-01,EU,email,303,222,16,596,3.77,synthetic_batch_2.csv
OPS-0121,2026-02-01,North_America,chat,349,262,26,585,3.25,synthetic_batch_3.csv
OPS-0122,2026-02-02,LATAM,voice,558,410,36,645,3.8,synthetic_batch_3.csv
OPS-0123,2026-02-03,EU,email,453,403,10,592,4.19,synthetic_batch_3.csv
OPS-0124,2026-02-04,North_America,chat,409,345,25,379,3.15,synthetic_batch_3.csv
OPS-0125,2026-02-05,LATAM,voice,703,495,36,364,3.64,synthetic_batch_3.csv
OPS-0126,2026-02-06,EU,email,388,316,7,653,3.9,synthetic_batch_3.csv
OPS-0127,2026-02-07,North_America,chat,687,514,26,593,3.97,synthetic_batch_3.csv
OPS-0128,2026-02-08,LATAM,voice,157,120,14,302,3.12,synthetic_batch_3.csv
OPS-0129,2026-02-09,EU,email,596,474,48,345,4.33,synthetic_batch_3.csv
OPS-0130,2026-02-10,North_America,chat,681,609,7,334,4.65,synthetic_batch_3.csv
OPS-0131,2026-02-11,LATAM,voice,562,513,22,607,3.19,synthetic_batch_3.csv
OPS-0132,2026-02-12,EU,email,276,239,10,397,4.2,synthetic_batch_3.csv
OPS-0133,2026-02-13,North_America,chat,593,424,26,412,4.35,synthetic_batch_3.csv
OPS-0134,2026-02-14,LATAM,voice,202,175,7,628,4.26,synthetic_batch_3.csv
OPS-0135,2026-02-15,EU,email,720,514,91,613,3.32,synthetic_batch_3.csv
OPS-0136,2026-02-16,North_America,chat,137,112,6,334,4.09,synthetic_batch_3.csv
OPS-0137,2026-02-17,LATAM,voice,571,428,51,578,3.12,synthetic_batch_3.csv
OPS-0138,2026-02-18,EU,email,130,104,10,341,4.06,synthetic_batch_3.csv
OPS-0139,2026-02-19,North_America,chat,481,397,16,602,3.88,synthetic_batch_3.csv
OPS-0140,2026-02-20,LATAM,voice,635,557,26,323,4.78,synthetic_batch_3.csv
OPS-0141,2026-02-21,EU,email,405,341,29,317,3.83,synthetic_batch_3.csv
OPS-0142,2026-02-22,North_America,chat,382,275,35,634,4.04,synthetic_batch_3.csv
OPS-0143,2026-02-23,LATAM,voice,153,125,5,327,4.63,synthetic_batch_3.csv
OPS-0144,2026-02-24,EU,email,712,558,74,543,4.34,synthetic_batch_3.csv
OPS-0145,2026-02-25,North_America,chat,587,474,17,541,3.62,synthetic_batch_3.csv
OPS-0146,2026-02-26,LATAM,voice,621,454,48,602,4.66,synthetic_batch_3.csv
OPS-0147,2026-02-27,EU,email,563,510,10,391,3.48,synthetic_batch_3.csv
OPS-0148,2026-02-28,North_America,chat,392,286,22,487,3.73,synthetic_batch_3.csv
OPS-0149,2026-03-01,LATAM,voice,194,168,12,436,4.5,synthetic_batch_3.csv
OPS-0150,2026-03-02,EU,email,412,311,30,516,4.83,synthetic_batch_3.csv
OPS-0151,2026-03-03,North_America,chat,657,616,19,556,3.23,synthetic_batch_3.csv
OPS-0152,2026-03-04,LATAM,voice,468,377,24,429,3.14,synthetic_batch_3.csv
OPS-0153,2026-03-05,EU,email,670,523,21,344,3.67,synthetic_batch_3.csv
OPS-0154,2026-03-06,North_America,chat,210,190,6,385,4.26,synthetic_batch_3.csv
OPS-0155,2026-03-07,LATAM,voice,211,191,9,387,4.06,synthetic_batch_3.csv
OPS-0156,2026-03-08,EU,email,705,661,5,334,4.17,synthetic_batch_3.csv
OPS-0157,2026-03-09,North_America,chat,340,299,5,405,4.7,synthetic_batch_3.csv
OPS-0158,2026-03-10,LATAM,voice,217,198,2,676,3.67,synthetic_batch_3.csv
OPS-0159,2026-03-11,EU,email,320,247,27,498,4.41,synthetic_batch_3.csv
OPS-0160,2026-03-12,North_America,chat,523,411,38,691,4.71,synthetic_batch_3.csv
OPS-0161,2026-03-13,LATAM,voice,687,574,31,416,4.66,synthetic_batch_3.csv
OPS-0162,2026-03-14,EU,email,173,133,17,377,3.65,synthetic_batch_3.csv
OPS-0163,2026-03-15,North_America,chat,129,105,9,515,4.38,synthetic_batch_3.csv
OPS-0164,2026-03-16,LATAM,voice,574,496,35,362,4.82,synthetic_batch_3.csv
OPS-0165,2026-03-17,EU,email,591,493,41,403,3.42,synthetic_batch_3.csv
OPS-0166,2026-03-18,North_America,chat,625,554,8,593,3.75,synthetic_batch_3.csv
OPS-0167,2026-03-19,LATAM,voice,563,465,44,435,4.21,synthetic_batch_3.csv
OPS-0168,2026-03-20,EU,email,518,414,24,448,3.11,synthetic_batch_3.csv
OPS-0169,2026-03-21,North_America,chat,358,274,17,531,4.39,synthetic_batch_3.csv
OPS-0170,2026-03-22,LATAM,voice,252,214,3,382,3.75,synthetic_batch_3.csv
OPS-0171,2026-03-23,EU,email,569,425,28,414,4.09,synthetic_batch_3.csv
OPS-0172,2026-03-24,North_America,chat,149,119,5,648,4.18,synthetic_batch_3.csv
OPS-0173,2026-03-25,LATAM,voice,705,571,52,550,4.47,synthetic_batch_3.csv
OPS-0174,2026-03-26,EU,email,275,225,7,528,4.11,synthetic_batch_3.csv
OPS-0175,2026-03-27,North_America,chat,549,511,15,612,4.47,synthetic_batch_3.csv
OPS-0176,2026-03-28,LATAM,voice,501,358,39,474,3.22,synthetic_batch_3.csv
OPS-0177,2026-03-29,EU,email,446,375,21,585,3.78,synthetic_batch_3.csv
OPS-0178,2026-03-30,North_America,chat,670,614,25,586,4.71,synthetic_batch_3.csv
OPS-0179,2026-03-31,LATAM,voice,377,313,7,335,4.43,synthetic_batch_3.csv
OPS-0180,2026-04-01,EU,email,321,230,11,327,4.12,synthetic_batch_3.csv
